Lookout Salon & Academy,"Shop No 1 & 2 ; Sun Sumit Building,, New Link Road, Chikuwadi, Borivali West, Mumbai - 400092, Opposite Sattva Hotel",07947187807
Dynamix Unisex Salon,"Plot No 5, Shop No 2,Om Siddhivinayak Co Operative Housing Society, Swami Vivekanand Nagar, Vasant Vihar-Thane West, Thane - 400610, Opposite Parmarth Niketan",07947186726
Esthetique Classic,"1st floor , daulatram mansion, 6th kitridge road, Colaba, Mumbai - 400005",07947179437
Lakme Salon Chembur,"101 ,102 1st Floor Shiv Ashish Complex, 19 Road, Chembur East, Mumbai - 400071, Above Bata Showroom",07947186554
Omn Unisex Salon,"Shop No .14 ,Emerald Building, Powai Vihar Complex, Powai Vihar Complex-Powai, Mumbai - 400076",07947458301
Stylist Hair Salon,"Shop Number 6, Koina Bhai Society, Andheri Kurla Road, Andheri East, Mumbai - 400099, Safed Pool",07947191910
RAHUL X SALOON & SPA,"Shop no 5 shree siddhi vinayak chs, Plot 142 sectors 44, Seawoods, Navi Mumbai - 400706, Charch",07947192389
The Saffron Unisex Spa & Sa..,"Shop No:1, Geeta Tower, Anand Nagar, Vasai West, Palghar - 401202, Neqr K T Vision Theatre",07947189885
MNY Salon & Spa,"3 Laxmi Building 1st Floor, Linking Road, Bandra West, Mumbai - 400050, Opposite KFC",07947177067
The Makeover Studio Unisex ..,"Shop No 4 and 5, Ground Floor , Padmavati Kripa Chs,, Road  No 2 , M G Road, Goregaon West, Mumbai - 400104, Near Thakkar Dairy, Opposite Get Well Chemist",07947192739
Scissor N Razor,"24/B R.N.A Arcade, Lokhandwala Market, Andheri West, Mumbai - 400053, Next to High Point Restaurant",07947192095
Get Set Stylebar Unisex Sal..,"Shop No.14 Usha CHS, Jankalyan Nagar, Off Marve Road, Malad West, Mumbai - 400095, Near Boomi  Park  Bulding",07947189297
Hair & Shine Unisex Salon &..,"Shop No 6 Shri Vinayak Soc, Charkop, Kandivali West, Mumbai - 400067, Near Mangal Murti Hospital",07947188802
Kaks Salon & Spa,"Shop No 24 Lokhandwala Complex, RNA Shopping Center, 3rd Cross Lane, Andheri West, Mumbai - 400053, Near High Point Restaurant",07947188949
